split,hourly_threshold_mm,product,rank,model,CSI,HSS,POD,FAR,frequency_bias,observed_events
development_2023_2025,5.0,complete_3h_same_numeric,3,GEM_GLOBAL,0.0463,0.0637,0.0683,0.8743,0.54348,322
development_2023_2025,5.0,complete_3h_same_numeric,4,UKMO_GLOBAL_10KM,0.045,0.0545,0.0776,0.9031,0.80124,322
development_2023_2025,5.0,complete_3h_same_numeric,5,CMA_GRAPES_GLOBAL,0.0388,0.0439,0.0652,0.9125,0.74534,322
development_2023_2025,5.0,complete_3h_same_numeric,6,ICON_SEAMLESS,0.0201,0.0239,0.0248,0.9059,0.26398,322
development_2023_2025,5.0,complete_3h_same_numeric,7,JMA_GSM,0.0106,0.0092,0.0124,0.9333,0.18634,322
development_2023_2025,5.0,complete_3h_same_numeric,8,ECMWF_HRES,0.0059,0.008,0.0062,0.8824,0.0528,322
development_2023_2025,5.0,episode_pm1h,1,UKMO_GLOBAL_10KM,0.0286,,0.0433,0.9226,0.55957,277
development_2023_2025,5.0,episode_pm1h,2,METEOFRANCE_ARPEGE_WORLD,0.0071,,0.0072,0.75,0.02888,277
development_2023_2025,5.0,episode_pm1h,3,GEM_GLOBAL,0.0067,,0.0072,0.9091,0.07942,277
development_2023_2025,5.0,episode_pm1h,4,GFS_GLOBAL,0.0036,,0.0036,0.8,0.01825,274
development_2023_2025,5.0,episode_pm1h,5,CMA_GRAPES_GLOBAL,0.0,,0.0,1.0,0.03971,277
development_2023_2025,5.0,episode_pm1h,6,ECMWF_HRES,0.0,,0.0,,0.0,277
development_2023_2025,5.0,episode_pm1h,7,ICON_SEAMLESS,0.0,,0.0,1.0,0.00722,277
development_2023_2025,5.0,episode_pm1h,8,JMA_GSM,0.0,,0.0,,0.0,277
development_2023_2025,5.0,episode_pm2h,1,UKMO_GLOBAL_10KM,0.0562,,0.083,0.8516,0.55957,277
development_2023_2025,5.0,episode_pm2h,2,GEM_GLOBAL,0.017,,0.0181,0.7727,0.07942,277
development_2023_2025,5.0,episode_pm2h,3,METEOFRANCE_ARPEGE_WORLD,0.0071,,0.0072,0.75,0.02888,277
development_2023_2025,5.0,episode_pm2h,4,ICON_SEAMLESS,0.0036,,0.0036,0.5,0.00722,277
development_2023_2025,5.0,episode_pm2h,5,GFS_GLOBAL,0.0036,,0.0036,0.8,0.01825,274
development_2023_2025,5.0,episode_pm2h,6,CMA_GRAPES_GLOBAL,0.0,,0.0,1.0,0.03971,277
