hourly_threshold_mm,product,model,development_rank,holdout_rank,rank_change_holdout_minus_development,development_CSI,holdout_CSI,development_FAR,holdout_FAR,development_top3,holdout_top3
1.5,complete_3h_same_numeric,JMA_GSM,7,7,0,0.0873,0.13,0.8398,0.8511,False,False
1.5,complete_3h_same_numeric,METEOFRANCE_ARPEGE_WORLD,1,6,5,0.1347,0.1326,0.812,0.8423,True,False
1.5,complete_3h_same_numeric,UKMO_GLOBAL_10KM,6,3,-3,0.1007,0.1392,0.8423,0.8125,False,True
1.5,episode_pm1h,CMA_GRAPES_GLOBAL,5,6,1,0.0436,0.0615,0.8771,0.9024,False,False
1.5,episode_pm1h,ECMWF_HRES,8,3,-5,0.0042,0.1031,0.8824,0.8039,False,True
1.5,episode_pm1h,GEM_GLOBAL,6,2,-4,0.0373,0.1111,0.8571,0.7727,False,True
1.5,episode_pm1h,GFS_GLOBAL,1,4,3,0.0759,0.0987,0.8619,0.8649,True,False
1.5,episode_pm1h,ICON_SEAMLESS,4,8,4,0.047,0.0541,0.8863,0.92,False,False
1.5,episode_pm1h,JMA_GSM,7,7,0,0.0061,0.0597,0.9143,0.7333,False,False
1.5,episode_pm1h,METEOFRANCE_ARPEGE_WORLD,2,5,3,0.068,0.0956,0.8552,0.8602,True,False
1.5,episode_pm1h,UKMO_GLOBAL_10KM,3,1,-2,0.0667,0.129,0.8852,0.8095,True,True
1.5,episode_pm2h,CMA_GRAPES_GLOBAL,5,7,2,0.071,0.0781,0.8051,0.878,False,False
1.5,episode_pm2h,ECMWF_HRES,8,3,-5,0.0042,0.1758,0.8824,0.6863,False,True
1.5,episode_pm2h,GEM_GLOBAL,6,2,-4,0.0607,0.1765,0.7727,0.6591,False,True
1.5,episode_pm2h,GFS_GLOBAL,1,4,3,0.1131,0.1597,0.8013,0.7928,True,False
1.5,episode_pm2h,ICON_SEAMLESS,4,6,2,0.0908,0.1143,0.7893,0.84,False,False
1.5,episode_pm2h,JMA_GSM,7,8,1,0.0144,0.0597,0.8,0.7333,False,False
1.5,episode_pm2h,METEOFRANCE_ARPEGE_WORLD,2,5,3,0.1085,0.1462,0.7772,0.7957,True,False
1.5,episode_pm2h,UKMO_GLOBAL_10KM,3,1,-2,0.103,0.1864,0.8288,0.7381,True,True
1.5,strict_hourly,CMA_GRAPES_GLOBAL,3,7,4,0.0507,0.0466,0.9126,0.9459,True,False
1.5,strict_hourly,ECMWF_HRES,8,3,-5,0.0078,0.0723,0.8983,0.9043,False,True
1.5,strict_hourly,GEM_GLOBAL,4,1,-3,0.0483,0.0955,0.905,0.8704,False,True
1.5,strict_hourly,GFS_GLOBAL,2,5,3,0.0678,0.0604,0.8943,0.9265,True,False
1.5,strict_hourly,ICON_SEAMLESS,5,6,1,0.0447,0.0518,0.9011,0.935,False,False
1.5,strict_hourly,JMA_GSM,7,8,1,0.032,0.0361,0.881,0.9355,False,False
