Hourly Report for WAWP
STN YYYYMMDD GG QFE36   QFF36   TEMP36   DEWP36   RH36   WD36   WS36   WD36   WS36   RA36   
xxx                                                       10     10     60     60           
                hPa     hPa     degC     degC     %      deg    kt     deg    kt     mm     
000 20260318 00 10091   10106    265      250      92    048      2    117      2        0  
000 20260318 01 10099   10114    296      254      78    360      3    004      3        0  
000 20260318 02 10097   10112    301      257      78    320      4    334      4        0  
000 20260318 03 10094   10109    303      257      77    309      5    326      5        0  
000 20260318 04 10087   10102    305      256      75    302      6    299      6        0  
000 20260318 05 10076   10091    306      256      75    292      7    298      6        0  
000 20260318 06 10062   10077    308      253      73    285      5    296      6        0  
000 20260318 07 10060   10075    300      252      76    282      3    294      4        0  
000 20260318 08 10062   10076    289      251      80    241      2    263      2        0  
000 20260318 09 10064   10079    285      256      85    325      1    270      1        0  
000 20260318 10 10068   10083    275      261      92    107      3    109      2        0  
000 20260318 11 10077   10092    267      259      95    099      2    117      3        0  
000 20260318 12 10087   10102    263      257      96    163      2    360      1        0  
000 20260318 13 10093   10108    260      254      97    360      1    134      3        0  
000 20260318 14 10097   10112    259      251      95    102      2    109      2        0  
000 20260318 15 10089   10104    259      249      95    072      2    104      2        0  
000 20260318 16 10083   10098    255      247      96    120      2    070      1        0  
000 20260318 17 10077   10092    254      247      96    129      1    158      2        0  
000 20260318 18 10069   10084    253      246      96    024      2    091      2        0  
000 20260318 19 10063   10079    251      246      97    113      3    100      2        0  
000 20260318 20 10060   10076    250      246      97    082      3    096      2        0  
000 20260318 21 10066   10081    247      245      99    109      1    100      2        0  
000 20260318 22 10074   10089    246      246     100    074      3    087      1        0  
000 20260318 23 10085   10101    250      249      99    190      2    093      1        0  
000 20260319 00 10093   10108    245      238      96    149      5    258      4       28  
000 20260319 01 10095   10110    242      238      98    131      5    134      5        0  
000 20260319 02 10094   10109    257      246      94    112      3    115      4        0  
